序号,区县名称,街道名称,社区名称,类别名,名称（全称）,地址（详细到门牌号）,邮政编码,联系电话,服务项目,服务时间,家政服务
1,东城区,安定门街道,宝钞南社区,家政服务,北京天地洁家政服务有限公司,北京市朝阳区安慧里二区16号楼102室,,64937664,小时工、换煤气、清洗油烟机及灶具维修、电路维修、水暖管道安装及维护、大小家电维修、修脚等,,家政服务
2,东城区,安定门街道,分司厅,家政服务,北京天地洁家政服务有限公司,北京市朝阳区安慧里二区16号楼102室,100009,64937664,小时工、换煤气、清洗油烟机及灶具维修、电路维修、水暖管道安装及维护、大小家电维修、修脚等,08:30-17：00,家政服务
3,东城区,安定门街道,国子监社区,家政服务,北京天地洁家政服务有限公司,北京市朝阳区安慧里二区16号楼102室,,64937664,小时工、换煤气、清洗油烟机及灶具维修、电路维修、水暖管道安装及维护、大小家电维修、修脚等,,家政服务
4,东城区,安定门街道,五道营,家政服务,金桥家政服务公司,东城区箭厂胡同29号,100007,,小时工、换煤气、清洗油烟机及灶具维修、电路维修、水暖管道安装及维护、大小家电维修、等,全天,家政服务
5,东城区,安定门街道,,家政服务,北京应朝辉洗衣行,北京市东城区车辇店胡同21号3208（雍和园）,,64023500,洗衣,8:30-21:30,家政服务
6,东城区,安定门街道,,家政服务,北京天地洁家政服务有限公司,北京市朝阳区安慧里二区16号楼102室,,64937664,小时工、换煤气、清洗油烟机及灶具维修、电路维修、水暖管道安装及维护、大小家电维修、修脚等,,家政服务
7,东城区,安定门街道,国旺,家政服务,北京天地洁家政服务有限公司,北京市朝阳区安慧里二区16号楼102室,,64937664,小时工、换煤气、清洗油烟机及灶具维修、电路维修、水暖管道安装及维护、大小家电维修、修脚等,,家政服务
8,东城区,安定门街道,花园社区,家政服务,北京天地洁家政服务有限公司,北京市朝阳区安慧里二区16号楼102室,,64937664,小时工、换煤气、清洗油烟机及灶具维修、电路维修、水暖管道安装及维护、大小家电维修、修脚等,,家政服务
9,东城区,北新桥街道,民安,家政服务,晨洁保洁服务中心,东扬威5号楼2层,100007,13681106408,卫生保洁及小时工,早7：00-晚11：00,家政服务
10,东城区,北新桥街道,前永康,家政服务,援帮养老助残服务队,北新三巷3号,100007,64027405,上门理发、家政、换煤气、送餐,8：30－17：30,家政服务
11,东城区,北新桥街道,十三条,家政服务,东城区农家女居家养老服务社,东城区东四十三条32号2楼201室,100007,84012511,家政服务,,家政服务
12,东城区,朝阳门街道,史家社区,家政服务,史家社区服务站,史家胡同21号,100010,,提供介绍小时工、保姆、家教,每周一至周五,家政服务
13,东城区,崇外街道,兴隆都市馨园,家政服务,北京泰吉浩天家政服务部,都市馨园10号楼1单元112,100062,67024643,家政服务、打字复印等,周一至周日,家政服务
14,东城区,东花市街道,广渠门外南里社区,家政服务,北京富源腾伟劳务服务有限公司,广渠家园23号楼-1,100022,87512047,家务劳务服务；复印；彩扩；家电维修,9:00-11:30；14:00-17:30,家政服务
15,东城区,东花市街道,南里,家政服务,东花市南里公共服务协会,南里3区1号楼旁平房,100062,67123193,家政服务，老年饭桌,周一至周五,家政服务
16,东城区,东华门街道,南池子社区,家政服务,大成家政服务,南池子大街124号,100006,65120813,家政服务、小时工、保姆等,8：30-17：00,家政服务
17,东城区,东四街道,六条社区,家政服务,东四家政,六条3号,100007,64021141,小时工、家电维修,周一至周日,家政服务
18,东城区,东四街道,五条社区,家政服务,五条家政公司,四条6号,100010,64053784,家政咨询、服务,工作日,家政服务
19,东城区,东四街道,总院社区,家政服务,恩赐月嫂家政服务,东城区朝阳门内北小街2号,100700,64021458,家政服务,工作日,家政服务
20,东城区,东直门街道,胡家园社区,家政服务,真诚家政服务,东外小街10号院,100027,64619295,家政服务,24小时,家政服务
21,东城区,东直门街道,新中街社区,家政服务,阳光都市,新中街18号院,100027,,家政服务,每天,家政服务
22,东城区,和平里街道,柏林,家政服务,和平家政公司,和平里东街9号院4号楼地下室,100013,84217066,职业介绍：保姆、小时工等,周一至周日,家政服务
23,东城区,和平里街道,六铺炕,家政服务,六铺炕社区居委会,安德路乙61号院7号楼,100120,62014792,为居民介绍小时工，保姆等,周一至周五8:30分至11:30分14:00至17:00,家政服务
24,东城区,和平里街道,五区,家政服务,诚信家政,和平里五区5号楼9门102,100013,8421.6562,保姆介绍等服务,365天,家政服务
25,东城区,和平里街道,兴化社区,家政服务,北京阳光薄洒家政服务中心,兴化西里锅炉房引风房,100013,64267820,职业介绍、家政人员登记、介绍等服务,周一至周五：9：30-17：00,家政服务
26,东城区,和平里街道,安贞苑,家政服务,北京禄媛家政服务公司,安定路20号院4号楼205号,100029,64445982,育儿、护工、育儿嫂、小时工、保洁,周一至周日,家政服务
27,东城区,龙潭街道,板厂南里,家政服务,温馨家家政服务,板厂南里12号楼3单元2号地下,100061,67169009,家政服务,9-18点,家政服务
28,东城区,龙潭街道,龙潭北里西,家政服务,万家帮家政服务中心,龙潭北里1条3楼后平房,100061,67167159,提供家政服务,全天,家政服务
29,东城区,前门街道,前东社区,家政服务,北京安京北望家政服务有限公司,西河沿215号地下,100051,67010583,家政服务,周一至周日,家政服务
30,东城区,体育馆路街道,葱店,家政服务,社区家政,法华寺街69号,100061,13552628355,,8:00-17:00,家政服务
31,东城区,永外街道,天天家园社区,家政服务,三乐永外劳动服务管理中心,安乐林路38号,100075,67214352,家政服务,早9点-晚5点,家政服务
32,西城区,白纸坊街道,崇效寺社区,家政服务,北京洪福诚信家政,白纸坊西街27号,100053,85943136,家政服务,长期,家政服务
33,西城区,白纸坊街道,建功南里社区,家政服务,北京康年家政中心,北京市西城区南菜园29号,100054,83537830,居室保洁、钟点工、提供保姆信息等家政服务,,家政服务
34,西城区,白纸坊街道,清芷园社区,家政服务,保丽艳芳家政服务中心,清芷园11号楼A座105,,83501266,保姆、保洁、小时工服务等,8:00-20:00,家政服务
35,西城区,白纸坊街道,新安中里,家政服务,北京市顺和祥适家政服务中心,白纸坊西街46-1、46-2地下一层32号,100054,63580095,家庭服务员、保姆、小时工、月嫂等,,家政服务
36,西城区,白纸坊街道,右内后身社区,家政服务,右内后身社区家政服务站,右内西街丙1号,100054,83512672,介绍保姆、小时工,每周一至周五,家政服务
37,西城区,大栅栏街道,前西社区,家政服务,温情园家政,前门西大街6号楼3门104,100051,63152520,家政服务、小时工,全天,家政服务
38,西城区,大栅栏街道,前西社区,,红人家政服务公司,西河沿180号,100051,63028402,家政服务、小时工,全天,家政服务
39,西城区,德胜街道,德外大街东社区,家政服务,捷足家政,塔院胡同12号院4号楼东侧,100120,82086408,家政服务介绍,每天,家政服务
40,西城区,德胜街道,新外大街北社区,家政服务,阳光四季家政,新外大街甲8号16楼9门门前平房,100088,82249438,家政服务,8：00-19：00,家政服务
41,西城区,德胜街道,阳光丽景社区,家政服务,北京盛世物业有限公司家政部,黄寺大街23号院C座东一层,100120,82235151,为居民提供家政服务,8-21:00,家政服务
42,西城区,德胜街道,裕中西里社区,家政服务,得胜好运信息咨询有限公司,裕中西里庚35号,100029,,,,家政服务
43,西城区,广安门内街道,老墙根社区,家政服务,老墙根社区家政服务队,老墙根59号旁门,100053,63170868,小时工、家政服务,每天,家政服务
44,西城区,广安门外街道,车站西街15号院社区,家政服务,生平礼仪家政,"小红庙17号楼南侧
（广外一小南100米）",100055,13522137848,保姆、小时工、月嫂,周一至周五上午9:00至下午5:00,家政服务
45,西城区,广安门外街道,红莲北里社区,家政服务,爱侬家政服务公司,红莲北里10号楼,100055,63433403,保洁、保姆招工,8：00-17:30,家政服务
46,西城区,广安门外街道,乐城社区,家政服务,可和平家政,乐城1号楼东侧,100055,15201033184,家政服务,9:00-18:00,家政服务
47,西城区,广安门外街道,马中里社区,家政服务,广外社区中心小时工,广外马中里一区1号楼,100055,63311165,小时工服务,9:00——18:00,家政服务
48,西城区,广安门外街道,三义里社区,家政服务,和谐家政服务有限公司,三义里8号楼底商,100055,63484959,家政、婚介、婚庆、职介,每日,家政服务
49,西城区,广安门外街道,湾子街社区,家政服务,东方爱都家政服务中心,宣武马连道11号一商大厦十层1018,100055,63340626,家政服务、小时工、保姆服务等,9：00-18：00,家政服务
50,西城区,广安门外街道,鸭子桥社区,家政服务,北京迅风时代家政服务中心,鸭子桥南里1-1-101,100055,51920012,小时工、保洁,早9:00-晚7:00,家政服务
51,西城区,金融街街道,受水河社区,家政服务,爱芳馨家政,众益胡同6号,100031,13146530507,小时工、保姆、月嫂,周一至周五,家政服务
52,西城区,牛街街道,春风社区,家政服务,恩典家政,牛街东里二区2号楼底商,100053,,清真服务网点。提供家政服务,工作日,家政服务
53,西城区,牛街街道,枫桦社区,家政服务,枫桦社区修车服务,西转胡同2号院8-1,100052,83998598,修车、义务打气,9:00-11:302:00-5:30,家政服务
54,西城区,牛街街道,南线阁社区,家政服务,海华春天,南线里4号楼二层,100053,83520227,月嫂、小时工、保姆,周一至周五,家政服务
55,西城区,什刹海,西安门社区,家政服务,守正明家政服务部,西安门大街80号,100034,66017227,家政服务,8：30-17：00,家政服务
56,西城区,什刹海,爱民街社区,家政服务,家和兴丰家政服务部,爱民里8号楼2门204号,100034,66166082,为居民提供保姆、月嫂等家政服务,每天,家政服务
57,西城区,什刹海,鼓西社区,家政服务,国梦家政公司,鼓西大街153号,100009,64041883,家政服务（保姆、小时工）,全天,家政服务
58,西城区,什刹海,簸箩仓社区,家政服务,三建家政公司,三不老胡同12号,100035,66182294,保洁、护理、提供保姆、小时工服务,周一至周日,家政服务
59,西城区,什刹海,兴华社区,家政服务,助人乐家政服务公司,东官房胡同17号,100009,66124055,家政服务,周一到周日,家政服务
60,西城区,什刹海,松树街社区,家政服务,老百姓家政务服务中心,刘海胡同34号,100009,83224933,职业介绍、家政服务,全天,家政服务
61,西城区,什刹海,柳荫街社区,家政服务,柳荫街家政服务,西城区柳荫街甲7号,100009,83224849,提供家庭保姆、小时工,全天,家政服务
62,西城区,陶然亭街道,黑窑厂社区,家政服务,千禧精英家政服务中心,西城区四平园小区1号楼-1号,100052,63547492,家政服务,早9:00至晚5:00,家政服务
63,西城区,天桥街道,香厂路社区,家政服务,大成家政服务,香仁胡同25号,100050,63177455,保姆、小时工介绍,早8点至晚6点,家政服务
64,西城区,天桥街道,先农坛社区,家政服务,北京阳光美乐家政服务中心,西城区南纬路10号楼南侧,100050,63013121,家政服务介绍,8:30——20:30,家政服务
65,西城区,天桥街道,天桥小区,家政服务,方圆家政,西城区天桥斜街11号,100050,13552943472,家政服务,9:00--17:00,家政服务
66,西城区,天桥街道,留学路社区,家政服务,爱居缘家政,西城区铺陈市胡同65号,100050,63030131,保姆、做饭、杂工、护理、保洁,每天8:30—19:30,家政服务
67,西城区,西长安街街道,南北长街社区,家政服务,社区家政服务,南长街62号,100031,66055408,为社区居民提供家庭服务项目,早9-晚5,家政服务
68,西城区,新街口街道,南小街社区,家政服务,北京中德天元爱心劳务家政公司,西城区南小街晓安胡同甲6号,100035,66188330,小时工，保洁，保姆，做饭,全天,家政服务
69,西城区,月坛街道,汽南社区,家政服务,可心家政服务,白云路西里,100045,63396955,,周一至周五,家政服务
70,西城区,月坛街道,三里河一区社区,家政服务,居安康家政服务有限责任公司,三里河一区5-1,100045,68579099,,,家政服务
71,西城区,月坛街道,铁道部第二住宅区铁二、二社区,家政服务,北京金助友家政服务公司,二七据场路甲4号,100045,68021243,,,家政服务
72,西城区,月坛街道,三区一社区,家政服务,北京市川正情家政服务中心,三里河三区31楼1门5号,100045,68414665,保姆小时工,,家政服务
73,西城区,月坛街道,南沙沟社区,家政服务,南沙沟社区家政服务,南沙沟社区18号楼,100045,68523474,送奶、理发,周一至周五,家政服务
74,西城区,月坛街道,三里河二区,家政服务,北京时尚美都百货店,三里河二区西1号楼126号,100045,68515882,,9：00—17：30,家政服务
75,西城区,展览路街道,黄瓜园社区,家政服务,诚与情家政,百万庄南里8号-1（甘家口大厦往南100米路东）,,82628379,,8:00-19:00,家政服务
76,西城区,展览路街道,露园社区,家政服务,晟月洁,展览馆路39号楼,,,,8;30-17;00,家政服务
77,朝阳区,奥运村街道,风林绿洲社区,家政服务,风林绿洲家政服务,风林绿洲9号楼东侧,100105,64837335,家政服务,周一到周五,家政服务
78,朝阳区,奥运村街道,大羊坊社区,家政服务,北京侬职苑家政服务有限公司,大羊坊甲2号院学校底商,100012,84921501-6607,保姆、打扫卫生、做饭,正常上班时间,家政服务
79,朝阳区,奥运村街道,南沙滩社区,家政服务,北京乐陶然商行,南沙滩5号楼北侧,100101,13691024208,家政服务,早8:30-17:00,家政服务
80,朝阳区,奥运村街道,绿色家园社区,家政服务,美宅美嘉家政服务有限公司,北京市朝阳区奥运村街道绿色家园社区天月园1号楼一单元三层,100107,84938908,保姆、小时工、开荒,9:00-17:00,家政服务
81,朝阳区,奥运村街道,万科星园社区,家政服务,欣亚中家政服务,万科星园1号楼地下一层,100107,84907106,保姆，小时工等家政服务,全日,家政服务
82,朝阳区,奥运村街道,绿色家园社区,家政服务,信和家政,天居园3号楼B1层,100107,84829005,小时工、保姆、新居开荒、擦洗油烟机,24小时,家政服务
83,朝阳区,大屯街道,慧忠北里第一社区,家政服务,▲维嘉缘家政公司,慧忠北里312楼1902号,100012,64809359,家政,,家政服务
84,朝阳区,大屯街道,慧忠北里第二社区,家政服务,九龙物业家政,慧忠北里118楼-8-101,,64836597,提供家政服务,8:30至11:30、13:30至17:00,家政服务
85,朝阳区,大屯街道,安逸社区,家政服务,北京华夏老乡家政服务有限公司,朝阳区安慧北里逸园24号楼109,100101,64962262,住家保姆、全日工、半日工、小时工。为客户提供专业清洗油烟机、杀虫、搬运、接送小孩上下学等服务。,9:00-17:00,家政服务
86,朝阳区,大屯街道,育慧西里社区,家政服务,凤桐祥家政服务公司,小营路9号C座五层,100101,64897909,提供家政服务、居家养老合作单位,9:00-17:30,家政服务
87,朝阳区,大屯街道,大屯里社区,家政服务,爱浓情缘家政,中灿苑物业楼一层111号,100012,84802238,家政服务,全天,家政服务
88,朝阳区,大屯街道,欧陆经典社区,家政服务,北京嘉佣坊家政服务有限公司,北苑路170号2号楼1-103,100101,13910037408,为社区居民提供各种家政服务,周一至周日，早8：30--17：00,家政服务
89,朝阳区,东湖街道,欧陆经典社区,家政服务,北京颂福爱生家政服务中心,北京市朝阳区上京新航线306楼1-705,100102,84674379,家政服务,9:00-18:00,家政服务
90,朝阳区,东湖街道,欧陆经典社区,家政服务,北京理想家家政服务部,北京市朝阳区六佰本商业街南区二层,100102,57223706,家政服务,9:00-18:00,家政服务
91,朝阳区,东湖街道,欧陆经典社区,家政服务,社区家政服务,利泽西园一区107楼,100102,,家政、保洁,全天,家政服务
92,朝阳区,垡头街道,翠城雅园社区,家政服务,翠城家政,翠城201号楼底商,100023,67364511,清洁、小时工、维修等,全天,家政服务
93,朝阳区,垡头街道,二区社区,家政服务,福乘福家政服务有限责任公司,金北15号楼底商,100023,67384524,家政服务、维修,上午8:00-下午5:00,家政服务
94,朝阳区,垡头街道,金蝉北里社区,家政服务,福乘福家政服务公司,金蝉北里15楼底商,100023,67384524,家政服务,,家政服务
95,朝阳区,垡头街道,垡头三区社区,家政服务,垡头福成福家政服务中心,垡头金蝉北里15楼底商,100023,67384524,清洗抽油烟机、清理房间,早9-下午6点,家政服务
96,朝阳区,垡头街道,垡头北里社区,家政服务,天成合家政房产信息部,垡头北里1-1-102,100023,67378203,提供介绍保姆、小时工、房地产的信息,8小时/天,家政服务
97,朝阳区,和平街街道,,家政服务,民家乐家政服务,胜古南里13楼前平房,100029,64441057,介绍保姆、小时工,24小时,家政服务
98,朝阳区,和平街街道,,,爱农家政和平街分部,和平街10区1号楼东2楼,100013,64229660,介绍保姆、家庭清洁,早8点30-晚6点,家政服务
99,朝阳区,和平街街道,,,北京家家好帮手家政服务中心,和平街11区3号楼1门1号,100013,13910199136,介绍保姆、家庭清洁,早8点30-晚6点,家政服务
100,朝阳区,呼家楼街道,呼南社区,家政服务,爱侬家政,呼家楼南里20楼对面平房,100026,65043410,小时工、护工,9点至18点,家政服务
101,朝阳区,首都机场街道,南路东里社区,家政服务,吉祥家政,机场派出所对面,100621,64570772,涉外家政、家庭维修等,24小时,家政服务
102,朝阳区,首都机场街道,南路西里社区,家政服务,安婴奥特机场家政服务中心,南路西里1#楼北侧保洁队办公楼二层,100621,64573709,涉外家政、家庭维修等,24小时,家政服务
103,朝阳区,建外街道,,家政服务,爱侬家政,蓝堡公寓S226,100026,85997646,家政服务,,家政服务
104,朝阳区,建外街道,,家政服务,建外街道社区服务中心,建国路88号现代城小区停车楼,100022,85802709,家政,工作日,家政服务
105,朝阳区,劲松街道,农光里社区,家政服务,悦佳福家政服务公司,农光里25楼24号,100021,15699919886,提供保姆、小时工等服务,,家政服务
106,朝阳区,劲松街道,西社区,家政服务,,劲松八区816楼北侧,100021,,介绍保姆、小时工等,早9时至6时,家政服务
107,朝阳区,六里屯街道,晨光社区,家政服务,红人家政,十里堡南区6号楼底商,100025,85843099,介绍小时工、保姆,8：30-17：01,家政服务
108,朝阳区,六里屯街道,六里屯北里社区,家政服务,北京市爱侬家政服务有限责任公司六里屯分部,六里屯6号楼108号,100026,65089735,家政服务；小时工、月嫂中介,9:00至17:00,家政服务
109,朝阳区,六里屯街道,秀水园社区,家政服务,北京市爱百年文化艺术中心月嫂部,水碓子北里甲11号,100026,85984268,月嫂服务,全天,家政服务
110,朝阳区,麦子店街道,农南社区,家政服务,"北京欣悦佳洁家政
服务有限公司",团结湖北5条1号楼102室,100125,85969903,保姆,24小时,家政服务
111,朝阳区,麦子店街道,农南社区,家政服务,"北京王大姐劳动
服务中心","北京市朝阳区团结湖北三
条11号楼4单元103号",100125,85519089,职业介绍，家政服务,24小时,家政服务
112,朝阳区,麦子店街道,枣北社区,家政服务,"金月人力资源（北
京）有限公司","朝阳公园西路15号楼龙阁
公寓201室",100125,58670272、58670271、65865870,家政服务,9:00—18:00,家政服务
113,朝阳区,潘家园街道,,家政服务,北京金贝贝月护家政服务有限公司,北京市朝阳区华威西里37号楼附楼,100021,67760594,劳务服务,9：00-17：00,家政服务
114,朝阳区,潘家园街道,,,北京立兴德隆劳务服务有限公司,朝阳区潘家园58楼401号,100021,67157298,家务劳动服务家居装饰,9：00-17：00,家政服务
115,朝阳区,潘家园街道,,,北京早教之家教育科技有限责任公司,北京市朝阳区潘家东里12号楼809号,100021,87402735,家政,9：00-17：00,家政服务
116,朝阳区,潘家园街道,,,北京布莱特雷科技有限公司教育咨询中心,松榆北路5号楼208号,100021,81825665,家政服务,9：00-17：00,家政服务
117,朝阳区,双井街道,百子园社区,家政服务,百子园社区劳动平台失业人员劳动介绍,北京市朝阳区百子湾16号百子园19号楼百子园社区居委会一层,100124,87732294,为小区居民提供家政服务,周一至周五早9点至12点，下午2点到6点,家政服务
118,朝阳区,双井街道,光环社区,家政服务,双花园社区家政服务,双花园南里一区1号楼底商,100022,67399424,家政服务,8:30-17:30,家政服务
119,朝阳区,双井街道,九龙社区,家政服务,便民服务,双井北里12楼前,100022,58264834,修锁、修鞋、修车,8:30-20:00,家政服务
120,朝阳区,双井街道,九龙南社区,家政服务,双井街道社区服务中心,广渠门外大街5号院富力D区综合配套楼,100022,58765169,清洗油烟机、维修水暖、电脑、家政等服务。,每周一至周五早8点半至11点半，下午1点半至5点半。,家政服务
121,朝阳区,双井街道,双花园社区,家政服务,丰圆顺家政公司,广外大街31号,100022,13811812516,小时工、月嫂、楼院开荒、陪护、小家电维修,早9至晚7,家政服务
122,朝阳区,团结湖街道,,家政服务,北京希望家政有限公司,水碓子16号楼北侧爱心家园院内,100026,85966175,家政、小时工、维修、疏通管道,周一至周日,家政服务
123,朝阳区,望京社区,,家政服务,爱侬家政服务公司,西园四区425楼一层,100102,64730327,家长服务,9:00-17:00,家政服务
124,朝阳区,望京社区,,家政服务,岑洁家政,南湖东园二区210-7-402,110102,64701637,家政服务,,家政服务
125,朝阳区,望京社区,,家政服务,北京诚达瑞家家政劳务服务有限责任公司,望京西园三区330—203,100102,57215731,家政服务,8：30-17：00,家政服务
126,朝阳区,望京社区,,家政服务,达源家政,南湖西园132楼106室,100102,84715530,家政服务,早8:30至17:00,家政服务
127,朝阳区,香河园街道,西坝河南里社区,家政服务,北京爽旺家政服务有限公司,南里4号楼3门103室,100028,64687201,保姆、小时工、家电维修、装修、月嫂,全周8点-18点,家政服务
128,朝阳区,香河园街道,西坝河中里社区,家政服务,佳和乐家政,中里2号楼前平房,100028,64606379,家政服务,8:30-17:00,家政服务
129,朝阳区,亚运村街道,安慧里社区,家政服务,北京青松老年看护服务有限公司,安慧里2区2号楼,100101,84477664,专业护士为老人专业护理服务,,家政服务
130,朝阳区,亚运村街道,北辰东路社区,家政服务,华夏中青家政连锁,北辰东路八号院辰运大厦416,100101,84981050,保姆、月嫂、小时工、保洁、育婴师新居开荒,9:00—17:00,家政服务
131,朝阳区,亚运村街道,安苑里社区,家政服务,天罡家政,安北10号楼负一层,100029,64812305,小时工等,,家政服务
132,朝阳区,左家庄街道,静安里社区,家政服务,静安里社区,静安里甲6号,100028,84511814,家政服务,周一至周五,家政服务
133,朝阳区,左家庄街道,左东里社区,家政服务,勤勤家政,左东里2号楼1层,100028,64686860,提供钟点服务,"每天
9:00-21:00",家政服务
134,朝阳区,左家庄街道,三源里社区,家政服务,北京贺康泰家务服务中心,三源里街8号楼,100027,84516180,小时工、保姆等家政服务介绍,"8:00-17:00
",家政服务
135,朝阳区,左家庄街道,三源里社区,家政服务,友和助民家政服务中心,三源里街21号东侧,100027,64646090,小时工、保姆等家政服务介绍,"8:00-17:00
",家政服务
136,朝阳区,左家庄街道,曙光里社区,家政服务,兵姐姐家政服务,西坝河东里10号楼,100028,84519188,家政服务,9:00－17:00,家政服务
137,丰台区,大红门街道,彩虹城社区,家政服务,亿鑫亮洁保洁公司,丰台区光彩路67号院1号楼底商,100075,87866449,小时工、擦玻璃、地板打蜡、清洗地毯居室开荒等,周一至周日全天,家政服务
138,丰台区,大红门街道,果园社区,家政服务,左邻右居家政服务公司,骏景园北区A座2205室,100068,87806130,小时工/保洁员等家政服务,,家政服务
139,丰台区,东高地街道,三角地第一社区,家政服务,罗姐家政服务,三角地第一社区34栋北平房,100076,13240438403,介绍保姆、小时工,工作日,家政服务
