序号,区县名称,街道名称,社区名称,类别名,名称（全称）,地址（详细到门牌号）,邮政编码,联系电话,服务项目,服务时间,家政服务
140,丰台区,东高地街道,万源东里社区,家政服务,万源家政,62栋一层,100076,68754441-12,家政服务,8:30—17:00,家政服务
141,丰台区,东铁匠营街道,木樨园第一社区,家政服务,欧芳家政服务公司,西木樨园6号楼1门001,100075,67214702,家政、小时工,周一至周日,家政服务
142,丰台区,东铁匠营街道,横七条路第一社区,家政服务,湘君丽君家政信息服务中心,横七条11号,100079,67673234,,,家政服务
143,丰台区,东铁匠营街道,四方景园社区,家政服务,北京圣洁纪平保洁有限公司,四方景园五区1号楼西侧一层,100164,87644185,保洁、保姆,周一至周日,家政服务
144,丰台区,东铁匠营街道,同仁园社区,家政服务,海拓家政（外社区）,蒲安里29号楼50米30号院内,100075,87674237,家政服务、疏通管道、介绍保姆,全年开放,家政服务
145,丰台区,东铁匠营街道,蒲安里第二社区,家政服务,东铁匠营街道社区服务中心,蒲安东里8号楼一层街面,100075,67698191,家政服务，96156热线服务,"每周一至周五
",家政服务
146,丰台区,东铁匠营街道,蒲黄榆第二社区,家政服务,蒲黄榆第二社区服务站,蒲四里6楼南侧,100075,67642500,介绍小时工,,家政服务
147,丰台区,东铁匠营街道,蒲黄榆第三社区,家政服务,海拓劳务派遣有限责任公司,蒲黄榆四里甲3号,100075,87674237,介绍保姆、小时工、家政服务等,全年,家政服务
148,丰台区,方庄街道,芳城园二区,家政服务,芳城园二区家政服务,芳城园二区6号楼103,100078,67624599,家政服务、小时工、保姆,周一至周日工作时间,家政服务
149,丰台区,方庄街道,芳群园一区,家政服务,博鑫鸿运家政服务公司,芳群园一区时代芳群1-2门负一层,100078,87637228,家政服务,周一至周日,家政服务
150,丰台区,方庄街道,芳群园一区,家政服务,"
北京天成嘉易家政","
芳群园一区时代芳群2-1门负一层",100078,"
13641209381",家政服务,周一至周日,家政服务
151,丰台区,方庄街道,芳星园三区社区,家政服务,心语家政,芳星园三区10号楼地下室,100078,67602198,家政服务,全天,家政服务
152,丰台区,方庄街道,芳城园一区,家政服务,百多亲家政服务,芳城园1区10#1层底商,100078,67696991,家政、保洁服务,9:00-17:00,家政服务
153,丰台区,方庄街道,紫芳园社区,家政服务,"家家喜家政服务公司
华夏中青家政服务公司","紫芳园一区7号楼地下室
分中寺7号",100078,87651553、13401114238,保姆、月嫂、小时工、保洁等,全天,家政服务
154,丰台区,丰台街道,新华街北社区,家政服务,北京福满润家政服务有限责任公司,新华街三里8#楼地下室,100070,13466738179,家务保洁、接送小孩、小时工、家教、新居开荒等,全天,家政服务
155,丰台区,和义街道,和义西里第二社区,家政服务,同信诚家政服务中心,和义西里四区4号楼北侧,100076,67964146,家政服务,常年,家政服务
156,丰台区,卢沟桥街道,卢沟桥社区,家政服务,北京瑞立佳保洁公司,莲香园小区2-106,100161,63993905,社区环境维护、保洁、小时工服务,早8点-晚5点,家政服务
157,丰台区,卢沟桥街道,六里桥社区,家政服务,六里桥社区家政服务中心,六里桥北里15号楼平房,100161,63311027,清洁、维修、保姆等服务项目,全天,家政服务
158,丰台区,卢沟桥街道,长安新城社区,家政服务,北京市安城家政服务有限公司,丰台区大成南里一区21号楼2-3,100141,68691158,家政服务,全天,家政服务
159,丰台区,马家堡街道,城南嘉园社区,家政服务,家家净家政公司,益城园11号楼底商,100068,67539177,家政服务、小时工等,工作日,家政服务
160,丰台区,马家堡街道,嘉园三里社区,家政服务,碧连天家政服务公司,嘉园三里2号楼南侧平房,100067,,家政服务,周一到周日,家政服务
161,丰台区,马家堡街道,双晨社区,家政服务,北京万家幸福家政服务有限公司,角门西里25号楼3门201号,100068,67220355,小时工、保姆服务,全天,家政服务
162,丰台区,马家堡街道,星河苑社区,家政服务,星河苑玺萌家政服务,星河苑2号院16号楼B1层,100068,67527470,提供星河苑小区家政服务,8：00——17：00,家政服务
163,丰台区,南苑街道,东新华社区,家政服务,睿智家政公司,丰台区南苑警备东路229号,100076,67940802,保姆、月嫂、钟点工、保洁,周一至周日,家政服务
164,丰台区,南苑街道,东新华社区,家政服务,顺民家政公司,丰台区南苑警备东路213号,100076,67975527,保姆、月嫂、钟点工、保洁,周一至周日,家政服务
165,丰台区,南苑街道,东新华社区,家政服务,爱心萍聚家政服务,丰台区北里综合楼12号,100076,67971975,保姆、月嫂、钟点工、保洁,周一至周日,家政服务
166,丰台区,南苑街道,机场社区,家政服务,苑玉声家政服务公司,南苑警备东路六号一区,100076,13691528006,家政保洁、保姆、小时工等,上午：8:30-11：30下午14:30-17:00,家政服务
167,丰台区,太平桥街道,太平桥南里社区,家政服务,京卫人力资源管理有限公司,糖人街商务写字楼A318,100073,13901166855,针对医院配送和管理护工等,9:00-17:00,家政服务
168,丰台区,太平桥街道,中里社区,家政服务,丰圆顺家政服务公司,丰台区西客站南广场大中电器,100073,82624709,家政服务,周一至周日8：-18:00,家政服务
169,丰台区,宛平城地区,沸城社区,家政服务,北京市宛平城社区服务中心,晓月苑东路游泳馆南侧红楼,100165,6377.738,保洁、维修，代换煤气，小时工,周一至周五,家政服务
170,丰台区,宛平城地区,城南社区,家政服务,北京市宛平城社区服务中心,晓月苑东路游泳馆南侧红楼,100165,6377.738,保洁、维修，代换煤气，小时工,周一至周五,家政服务
171,丰台区,宛平城地区,老庄子社区,家政服务,北京市宛平城社区服务中心,晓月苑东路游泳馆南侧红楼,100165,6377.738,保洁、维修，代换煤气，小时工,周一至周五,家政服务
172,丰台区,宛平城地区,宛平城社区,家政服务,北京市宛平城社区服务中心,晓月苑东路游泳馆南侧红楼,100165,6377.738,保洁、维修，代换煤气，小时工,周一至周五,家政服务
173,丰台区,宛平城地区,晓月苑第二社区,家政服务,北京市宛平城社区服务中心,晓月苑东路游泳馆南侧红楼,100165,6377.738,保洁、维修，代换煤气，小时工,周一至周五,家政服务
174,丰台区,宛平城地区,晓月苑社区,家政服务,北京市宛平城社区服务中心,晓月苑东路游泳馆南侧红楼,100165,6377.738,保洁、维修，代换煤气，小时工,周一至周五,家政服务
175,丰台区,宛平城地区,城北社区,家政服务,北京市宛平城社区服务中心,晓月苑东路游泳馆南侧红楼,100165,6377.738,保洁、维修，代换煤气，小时工,周一至周五,家政服务
176,丰台区,西罗园街道,马家堡东里社区,家政服务,心悦缘家政服务公司,马东里15区院内,100068,,家政服务,,家政服务
177,丰台区,西罗园街道,西罗园第四社区,家政服务,北京龙琪春领航家政服务中心,西罗园四区14号楼底商,100077,87299877,提供家政服务服务员,,家政服务
178,丰台区,新村街道,丰西社区,家政服务,无,无,100070,无,无,无,家政服务
179,丰台区,新村街道,科学城第二社区,家政服务,科学城家政服务公司,丰台区恒富街2号东,100070,63798274,家政服务,周一至周日,家政服务
180,丰台区,新村街道,明春苑社区,家政服务,明春苑社区服务站,明春东园19号楼旁平房,100160,83709165,居民服务,2010.7至现在,家政服务
181,丰台区,新村街道,桥梁厂第二社区,家政服务,桥梁厂第二社区社区服务中心,新村二里桥二居委会门口,100070,63739851,家政人才登记、家政服务需求登记、家政服务中介,每周一至周五,家政服务
182,丰台区,新村街道,万柳园社区,家政服务,万柳园社区家政服务站,万柳园小区1号楼,100070,63300275,,8小时,家政服务
183,丰台区,新村街道,怡海花园社区,家政服务,昱萱家政、中联怡海家政,怡海路3号,100070,13701177329,,,家政服务
184,丰台区,右安门街道,翠林二里社区,家政服务,右安门街道服务中心,右安门外大街玉林里37号楼,100069,63056704,家政、保洁、送水等,全天,家政服务
185,丰台区,右安门街道,翠林三里社区,家政服务,右安门街道服务中心,右安门外大街玉林里37号楼,100069,63056704,家政、保洁、送水等,全天,家政服务
186,丰台区,右安门街道,开阳里第二社区,家政服务,开阳里第二社区巾帼园家政服务,开阳里三区1号楼2门108室,100069,63572118,下岗失业人员提供就业家政服务,每周一至周五,家政服务
187,丰台区,右安门街道,开阳里第四社区,家政服务,右安门街道社区服务中心,右外大街玉林里小区37号楼,100069,63056704,家政、保洁、送水等,全天,家政服务
188,丰台区,右安门街道,开阳里第一社区,家政服务,右安门街道社区服务中心,右外大街玉林里小区37号楼,100069,63056704,家政、保洁、送水等,全天,家政服务
189,丰台区,右安门街道,西铁营社区,家政服务,右安门街道社区服务中心,右外大街玉林里小区37号楼,100069,63056704,家政、保洁、送水等,全天,家政服务
190,丰台区,右安门街道,永乐社区,家政服务,右安门街道社区服务中心,右外大街玉林里小区37号楼,100069,63056704,家政、保洁、送水等,全天,家政服务
191,丰台区,右安门街道,玉林东里二区,家政服务,右安门街道社区服务中心,右外大街玉林里小区37号楼,100069,63056704,家政、保洁、送水等,全天,家政服务
192,丰台区,右安门街道,玉林东里一区,家政服务,北京丰新村劳务服务中心凤华巢分中心,玉林东里一区8号楼设备层,100069,63051200,信息咨询、物业管理、婚介服务,每天,家政服务
193,丰台区,右安门街道,玉林里社区,家政服务,右安门街道社区服务中心,右外大街玉林里小区37号楼,100069,63056704,家政、保洁、送水等,全天,家政服务
194,丰台区,右安门街道,玉林西里社区,家政服务,右安门街道社区服务中心,右外大街玉林里小区37号楼,100069,63056704,家政、保洁、送水等,全天,家政服务
195,丰台区,右安门街道,翠林一里社区,家政服务,右安门街道服务中心,右安门外大街玉林里37号楼,100069,63056704,家政、保洁、送水等,全天,家政服务
196,丰台区,右安门街道,东滨河路社区,家政服务,右安门街道社区服务中心,右外大街玉林里小区37号楼,100069,63056704,家政、保洁、送水等,全天,家政服务
197,丰台区,右安门街道,东庄社区,家政服务,右安门街道社区服务中心,右外大街玉林里小区37号楼,100069,63056704,家政、保洁、送水等,全天,家政服务
198,丰台区,右安门街道,开阳里第三社区,家政服务,右安门街道社区服务中心,右外大街玉林里小区37号楼,100069,63056704,家政、保洁、送水等,全天,家政服务
199,丰台区,右安门街道,玉林东里三区社区,家政服务,右安门街道社区服务中心,右外大街玉林里小区37号楼,100069,63056704,家政、保洁、送水等,全天,家政服务
200,丰台区,云岗街道,翠园社区,家政服务,云岗街道社区服务中心,丰台区云岗北区西里11号,100074,68374743,家政服务介绍、96156热线等,上午:8:30至11:30下午13:30至17:00,家政服务
201,丰台区,云岗街道,北区社区,家政服务,云岗街道社区服务中心,北京市丰台区云岗北区西里11号,100074,68374743,小时工、保姆,8：30~11：00，13：30~17：00,家政服务
202,丰台区,长辛店街道,长辛店北关社区,家政服务,王艳茹家政公司,长辛店大街10号,100072,51156867,做饭、洗衣服、保姆,全天,家政服务
203,丰台区,长辛店街道,陈庄社区,家政服务,永善家政服务社,长辛店永兴里2楼,100072,13671007551,房屋出租、家电维修、清洗油烟机、婚恋交友、日常清洁、保姆、月嫂介绍等,早8：30--晚5：30,家政服务
204,丰台区,长辛店街道,东山坡社区,家政服务,东山坡社区家政服务,曹家口43号,100072,13911885563,保姆婚介,周一至周日,家政服务
205,丰台区,长辛店街道,杜家坎社区,家政服务,舒安放家政服务有限公司,丰台区长辛店杜家坎15号院,100072,83844693,家政服务、护理、保洁,,家政服务
206,丰台区,长辛店街道,合成公社区,家政服务,段大姐家政,北京市丰台区长辛店大街308号,100072,83840317,家政服务,周一至周五,家政服务
207,丰台区,长辛店街道,南墙缝社区,家政服务,南墙缝社区家政服务,丰台区长辛店南关西里8号,100072,83861643,介绍家政服务,早8点至晚6点,家政服务
208,丰台区,长辛店街道,装工院社区,家政服务,金槐岭家政服务中心,槐树岭三号院生活服务楼二层,100072,66862940,家政、维修、家装及装饰、搬家拉货、为老服务、健康咨询、废品回收。,工作日,家政服务
209,丰台区,长辛店街道,装技所社区,家政服务,金槐岭家政服务中心,槐树岭三号院11楼2层,100072,66862094,,9：00－17：30,家政服务
210,石景山区,八角街道,八角南里社区,家政服务,石景山区妇女儿童活动中心家政婚介服务部,八角西街46号,100043,68875501,小时工、家政服务,周一至周日工作时间,家政服务
211,石景山区,八角街道,古城南路,家政服务,北京市爱侬家政服务有限责任公司,古城南路52栋16号,100043,68848044,劳务服务打字复印,周一-周日,家政服务
212,石景山区,八角街道,公园北社区,家政服务,爱侬家政服务,古城路67栋西侧,100043,68810929,介绍保姆、小时工,全天,家政服务
213,石景山区,老山街道,老山西里社区,家政服务,天天服务社,西里邮局旁边,100049,,电器修理，送水，小时工,上午8点—晚上7点,家政服务
214,石景山区,老山街道,玉泉西路社区,家政服务,玉泉西路社区家政服务点,玉泉西街1号院平房35号,100049,88258356,保姆、护工、送水、钟点工等服务,每天,家政服务
215,石景山区,鲁谷街道,双锦园社区,家政服务,,石景山区永乐西区2号楼物业站,100040,68636674,介绍家庭保姆等,每周一至七日,家政服务
216,石景山区,鲁谷街道,五芳园社区,家政服务,嘉和莲芳,26-8-102,100040,68629449,家政服务,9:30-19:30,家政服务
217,石景山区,鲁谷街道,五芳园社区,家政服务,家政服务,29-8-101,100040,68650939,家政服务,9:30-19:30,家政服务
218,石景山区,苹果园街道,苹三社区,家政服务,北京芳芳暖心家政服务中心,苹果园三区12栋1104号,100144,13521786123,家政服务14项,按需,家政服务
219,石景山区,苹果园街道,苹三社区,家政服务,西友莲家政服务中心,苹果园三区17栋105号,100144,13051974115,家政服务7项,按需,家政服务
220,石景山区,苹果园街道,苹一社区,家政服务,爱家乐缘家政服务中心,石景山区苹果园一区20栋北,100041,68811116,家政服务,8:00-6:00,家政服务
221,石景山区,苹果园街道,苹一社区,家政服务,社区家政,石景山区苹果园南路23号122,100041,88931379,家政服务,9:00-5:30,家政服务
222,石景山区,苹果园街道,苹一社区,家政服务,天使家政服务,石景山区苹果园南路23号118,100041,88932673,家政服务,9:00-5:30,家政服务
223,石景山区,苹果园街道,西黄村社区,家政服务,家政服务,西黄村63号,100144,13693374434,小时工、房屋出租,,家政服务
224,石景山区,苹果园街道,西山枫林一社区,家政服务,春光家美家政,香山南路168号院底商105,100144,88782914,为小区居民提供家政服务,9：00-17：00,家政服务
225,石景山区,五里坨街道,联勤部社区,家政服务,爱依农家政服务站,联勤部社区居委会,100042,66384482,介绍钟点工、月嫂、保母等,"星期一至星期五
9:00-17:00",家政服务
226,门头沟区,大峪街道,葡东社区,家政服务,石龙葡东物业公司,葡东社区院内13号楼旁平房,102308,61865794,简单维修、家政服务,工作日,家政服务
227,门头沟区,大峪街道,双峪社区,家政服务,北京戈壁青青家政,双峪路6号北第三间,102300,69865384,保姆、小时工、专业保洁,8：00-18：00,家政服务
228,门头沟区,大峪街道,向阳社区,家政服务,居家顺保洁服务中心,向阳楼5-1-1,102300,69846286,家政服务,全天,家政服务
229,门头沟区,大峪街道,向阳社区,家政服务,向阳社区博爱义工站,向阳1号楼东侧,102300,69825840,家政服务,全天,家政服务
230,门头沟区,大峪街道,月季园二区社区,家政服务,双代商务服务有限公司,月季园25号楼,102300,69825240,家政服务,全天,家政服务
231,门头沟区,大峪街道,增产路东区社区,家政服务,阳光家政,增产路34-3号,102300,69822212,保姆小时工,全天,家政服务
232,门头沟区,大峪街道,新桥南大街社区,家政服务,门头沟区博爱义工联,滨河路115号滨河大厦1102-1室,102300,69825840,家政服务,周一到周日,家政服务
233,门头沟区,大峪街道,南路二社区,家政服务,大峪南路二社区家政服务,大峪南路二社区23楼前平房,102300,69866142,为社区居民提供生活上的服务,工作日,家政服务
234,门头沟区,军庄镇,北四社区,家政服务,北四社区服务站,门头沟区军庄镇老庙村96号,102300,60810215,介绍保姆小时工月嫂保洁员,每周一至日,家政服务
235,门头沟区,军庄镇,杨坨社区,家政服务,社区居委会,社区居委会,102300,60814127,介绍家政服务员,9-5.30,家政服务
236,房山区,西潞街道,苏庄三里社区,家政服务,安心小饭桌,苏庄三里17-3-101,102488,15699836554,学生食宿、家教,7：00-20：00,家政服务
237,房山区,西潞街道,苏庄三里社区,家政服务,阳光四季教育培训中心,苏庄三里8-5-102号,102488,89374065,学生食宿、家教,7：00-20：00,家政服务
238,房山区,西潞街道,苏庄三里社区,家政服务,北京罗杰英伦文化发展有限公司,苏庄三里8-5-101号,102488,13671106678,英语培训、家教,9：00-18：00,家政服务
239,房山区,西潞街道,苏庄三里社区,家政服务,春芽教育咨询中心,苏庄三里8-4-102号,102488,13011813853,学生食宿、家教,7：00-20：00,家政服务
240,房山区,西潞街道,苏庄三里社区,家政服务,北京101网校房山学习学习中心,苏庄一里19-5-102号,102488,61355712,学习培训,10：00-21：00,家政服务
241,房山区,西潞街道,苏庄三里社区,家政服务,健博士小饭桌,苏庄一里19-5-101号,102488,61355885,学生食宿、家教,6：30-20：30,家政服务
242,房山区,西潞街道,苏庄三里社区,家政服务,北京远大艺术培训中心,苏庄三里8-6-101,102488,"89357061、
89370396",舞蹈、声乐、器乐培训,8：30-6：00,家政服务
243,房山区,西潞街道,太平庄西里社区,家政服务,太平庄社区服务中心,太平庄村委会院内,102488,96156,家政服务,9:00-11:0014:00-17:00,家政服务
244,房山区,西潞街道,西潞园社区,家政服务,百帮家政服务中心,西潞园社区内,102487,89355978,日常家政服务,,家政服务
245,房山区,西潞街道,月华社区,家政服务,清润田水站,月华社区底商,,,卖水，送水,全年,家政服务
246,房山区,西潞街道,月华社区,家政服务,北京良乡月华家政服务中心,月华社区底商,102488,60382017,家政服务,全年,家政服务
247,房山区,青龙湖镇,水泥厂社区,家政服务,京强水泥厂社区家政服务站,青龙湖镇坨里北街253号,102471,80370651,家政服务,周一至周五,家政服务
248,房山区,琉璃河镇,水泥厂社区,家政服务,北京金色时光康乐家园,琉璃河车站前街10号院,102403,81687365,家政服务、代购商品、居家养老服务,常年,家政服务
249,房山区,拱辰街道,一街第二社区,家政服务,一街第二社区居民事务服务站,东秀街四巷东侧,102401,51138696,协调联系家政公司,,家政服务
250,房山区,拱辰街道,三街第二社区,家政服务,月华新村家政服务,良乡西路大街30号,102488,89372322,送水、送液化汽,全天,家政服务
251,房山区,城关街道,城北社区,家政服务,小玲家政,城关北大街路东9号,102400,80330040,家教、保姆、婚介,全天,家政服务
252,房山区,城关街道,府东里社区,家政服务,馨烨缘理发店,房山区城关街道府东里社区内,102400,13716401546,美容美发,,家政服务
253,房山区,城关街道,南里社区,家政服务,阿苗美容美发,北京市房山区城关南路南里社区院内9号楼底商,102400,,美容美发,,家政服务
254,房山区,城关街道,新东关社区,家政服务,北京泰达君安家政服务中心,兴房大街2号,102400,69315325,家政服务,全天,家政服务
255,房山区,窦店街道,沁馥家园社区,家政服务,鸿都家政,小区门口西侧底商,102433,69399108,助老助残、保洁、家教等服务,24小时,家政服务
256,通州区,北苑街道,复兴南里社区,家政服务,喜琴家政公司,果园233号院2号楼221号,101100,13552771396,家政服务,每日上午8:00至晚6:00,家政服务
257,通州区,北苑街道,后南仓社区,家政服务,奥讯凯信息咨询服务中心,后南仓7号楼前,101100,69558212,小区内室内维修家政服务,全天,家政服务
258,通州区,北苑街道,帅府社区,家政服务,喜琴有缘信息咨询服务部,通惠南路20楼111,101100,13552771396,家政,,家政服务
259,通州区,北苑街道,玉带路社区,家政服务,北京助民兴业家政服务中心,潞河中学北街13号,101100,80885961,小时工、管道维修、房屋补漏等,8:00-17:30,家政服务
260,通州区,潞城镇,紫荆雅园社区,家政服务,大爱园家政服务中心,1-176-4A,101117,89524719,"家庭保洁,家政服务",全天,家政服务
261,通州区,永顺镇,东潞苑西区社区,家政服务,东潞苑社区家政服务所,东潞苑小区尚东庭底商8号,101100,8959.669,提供家庭服务信息,全天,家政服务
262,通州区,永顺镇,富河园社区,家政服务,富河园小区修车部,富河园小区大门口,101100,,修车,全天,家政服务
263,通州区,永顺镇,潞苑嘉园社区,家政服务,北京晶晶馋鱼食府,陈列馆路534号潞苑嘉园,101100,81673320,,,家政服务
264,通州区,永顺镇,潞苑南里社区,家政服务,阿智美容美发,潞苑南大街917号,101100,13718862201,美容美发,不固定,家政服务
265,通州区,永顺镇,盛业家园社区,家政服务,北京多多吉瑞家政服务有限公司,通胡大街23号楼203号楼211室,101100,52336440,家政、保洁服务,全天,家政服务
266,通州区,永顺镇,西马庄社区,家政服务,北京珍奇发艺美容店,西马庄小区34号楼801室,101100,15910216978,美容美发,全天,家政服务
267,通州区,永顺镇,杨庄南里南社区,家政服务,洁然鑫洋京贸有限公司,杨庄路113号,101101,13699191388,家政服务,早8:00--晚18:00,家政服务
268,通州区,永顺镇,杨庄南里西社区,家政服务,北京滨河保洁服务中心,永顺镇前上坡村,101100,13521307772,家庭卫生保洁、擦玻璃等,日间服务,家政服务
269,通州区,永顺镇,永顺南里社区,家政服务,北京滨河保洁服务中心,永顺镇前上坡村,101100,13521307772,家庭保洁、擦玻璃等,,家政服务
270,通州区,永顺镇,永顺西里社区,家政服务,北京兴安中意社区服公司,通惠北路14号楼,101100,80548051,家政、服务、保洁等,工作日,家政服务
271,通州区,永顺镇,运乔嘉园社区,家政服务,运乔嘉园社区居委会,23号楼地下室,101100,81588242,96156服务项目,全天,家政服务
272,通州区,永顺镇,运通园社区,家政服务,北京滨河保洁服务中心,永顺镇前上坡村,101100,13521307772,家庭卫生保洁、擦拭玻璃,,家政服务
273,通州区,玉桥街道,玉桥东里社区,家政服务,金旭铎家政公司,"通州区玉桥东里5号楼
921号",101101,81545344,提供保姆服务,"每天
9-11
14-17",家政服务
274,通州区,中仓街道,东里社区,家政服务,快乐心情家政服务公司,通州区新城东里31号楼下平房,101100,81992336,家政服务,"上午9：00-11：30
下午1：30-5：30",家政服务
275,通州区,中仓街道,东里社区,家政服务,微笑好帮手家政服务公司,通州区新城东里17号楼下平房,101100,80883136,家政服务,"上午9：00-11：30
下午1：30-5：30",家政服务
276,通州区,中仓街道,东里社区,家政服务,北京运河人家政服务公司,通州区新城东里17号楼612,101100,80883200,家政服务,"上午9：00-11：30
下午1：30-5：30",家政服务
277,通州区,中仓街道,四员厅社区,家政服务,贝格尔家政服务公司,车站路55号楼,,13521116371,家政服务,,家政服务
278,通州区,中仓街道,西营社区,家政服务,万家富乐家政服务公司,东里6号楼楼下平房,101100,81955055,清洗保洁、家政服务,周一到周日8:30~11:301:30~17:30,家政服务
279,通州区,中仓街道,小园社区,家政服务,北京众兴家业家政服务中心,东营前街3号楼底商,101100,80887180,为社区居民提供生活便利,上午9:00—11:30；下午1:30—5:30,家政服务
280,顺义区,空港街道,天房第一社区,家政服务,家政服务公司,北京市顺义区天竺镇丽苑街6号物业楼一层,101312,64560101,保洁,早8点到晚6点,家政服务
